territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-021000,021000,21000,Moura,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020900,020900,20900,Mértola,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-021100,021100,21100,Odemira,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-021200,021200,21200,Ourique,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-021300,021300,21300,Serpa,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-021400,021400,21400,Vidigueira,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-030100,030100,30100,Amares,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030200,030200,30200,Barcelos,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030300,030300,30300,Braga,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030400,030400,30400,Cabeceiras de Basto,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030500,030500,30500,Celorico de Basto,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030600,030600,30600,Esposende,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030700,030700,30700,Fafe,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030800,030800,30800,Guimarães,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-030900,030900,30900,Póvoa de Lanhoso,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-031000,031000,31000,Terras de Bouro,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-031100,031100,31100,Vieira do Minho,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-031200,031200,31200,Vila Nova de Famalicão,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-031300,031300,31300,Vila Verde,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-031400,031400,31400,Vizela,concelho,6,LOCAL-030000,030000,Braga,LOCAL-030000,Braga,Norte
LOCAL-040100,040100,40100,Alfândega da Fé,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040200,040200,40200,Bragança,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040300,040300,40300,Carrazeda de Ansiães,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040400,040400,40400,Freixo de Espada à Cinta,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040500,040500,40500,Macedo de Cavaleiros,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040600,040600,40600,Miranda do Douro,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040700,040700,40700,Mirandela,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040800,040800,40800,Mogadouro,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-040900,040900,40900,Torre de Moncorvo,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-041000,041000,41000,Vila Flor,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-041100,041100,41100,Vimioso,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-041200,041200,41200,Vinhais,concelho,6,LOCAL-040000,040000,Bragança,LOCAL-040000,Bragança,Norte
LOCAL-050100,050100,50100,Belmonte,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050200,050200,50200,Castelo Branco,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050300,050300,50300,Covilhã,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050400,050400,50400,Fundão,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
LOCAL-050500,050500,50500,Idanha-a-Nova,concelho,6,LOCAL-050000,050000,Castelo Branco,LOCAL-050000,Castelo Branco,Centro
