municipality_code,municipality_name,district_name,region
LOCAL-081100,Portimão,Faro,Algarve
LOCAL-081300,Silves,Faro,Algarve
LOCAL-081200,São Brás de Alportel,Faro,Algarve
LOCAL-081400,Tavira,Faro,Algarve
LOCAL-081600,Vila Real de Santo António,Faro,Algarve
LOCAL-081500,Vila do Bispo,Faro,Algarve
LOCAL-090100,Aguiar da Beira,Guarda,Centro
LOCAL-090200,Almeida,Guarda,Centro
LOCAL-090300,Celorico da Beira,Guarda,Centro
LOCAL-090400,Figueira de Castelo Rodrigo,Guarda,Centro
LOCAL-090500,Fornos de Algodres,Guarda,Centro
LOCAL-090600,Gouveia,Guarda,Centro
LOCAL-090700,Guarda,Guarda,Centro
LOCAL-090800,Manteigas,Guarda,Centro
LOCAL-090900,Mêda,Guarda,Centro
LOCAL-091000,Pinhel,Guarda,Centro
LOCAL-091100,Sabugal,Guarda,Centro
LOCAL-091200,Seia,Guarda,Centro
LOCAL-091300,Trancoso,Guarda,Centro
LOCAL-091400,Vila Nova de Foz Côa,Guarda,Centro
LOCAL-100100,Alcobaça,Leiria,Centro
LOCAL-100200,Alvaiázere,Leiria,Centro
LOCAL-100300,Ansião,Leiria,Centro
LOCAL-100400,Batalha,Leiria,Centro
LOCAL-100500,Bombarral,Leiria,Centro
LOCAL-100600,Caldas da Rainha,Leiria,Centro
LOCAL-100700,Castanheira de Pêra,Leiria,Centro
LOCAL-100800,Figueiró dos Vinhos,Leiria,Centro
LOCAL-100900,Leiria,Leiria,Centro
LOCAL-101000,Marinha Grande,Leiria,Centro
LOCAL-101100,Nazaré,Leiria,Centro
LOCAL-101300,Pedrógão Grande,Leiria,Centro
LOCAL-101400,Peniche,Leiria,Centro
LOCAL-101500,Pombal,Leiria,Centro
LOCAL-101600,Porto de Mós,Leiria,Centro
LOCAL-101200,Óbidos,Leiria,Centro
LOCAL-110100,Alenquer,Lisboa,Área Metropolitana de Lisboa
LOCAL-111500,Amadora,Lisboa,Área Metropolitana de Lisboa
LOCAL-110200,Arruda dos Vinhos,Lisboa,Área Metropolitana de Lisboa
LOCAL-110300,Azambuja,Lisboa,Área Metropolitana de Lisboa
LOCAL-110400,Cadaval,Lisboa,Área Metropolitana de Lisboa
LOCAL-110500,Cascais,Lisboa,Área Metropolitana de Lisboa
LOCAL-110600,Lisboa,Lisboa,Área Metropolitana de Lisboa
LOCAL-110700,Loures,Lisboa,Área Metropolitana de Lisboa
LOCAL-110800,Lourinhã,Lisboa,Área Metropolitana de Lisboa
LOCAL-110900,Mafra,Lisboa,Área Metropolitana de Lisboa
LOCAL-111600,Odivelas,Lisboa,Área Metropolitana de Lisboa
LOCAL-111000,Oeiras,Lisboa,Área Metropolitana de Lisboa
LOCAL-111100,Sintra,Lisboa,Área Metropolitana de Lisboa
LOCAL-111200,Sobral de Monte Agraço,Lisboa,Área Metropolitana de Lisboa
LOCAL-111300,Torres Vedras,Lisboa,Área Metropolitana de Lisboa
LOCAL-111400,Vila Franca de Xira,Lisboa,Área Metropolitana de Lisboa
LOCAL-310100,Calheta,Madeira,Região Autónoma da Madeira
LOCAL-310200,Câmara de Lobos,Madeira,Região Autónoma da Madeira
LOCAL-310300,Funchal,Madeira,Região Autónoma da Madeira
LOCAL-310400,Machico,Madeira,Região Autónoma da Madeira
LOCAL-310500,Ponta do Sol,Madeira,Região Autónoma da Madeira
LOCAL-310600,Porto Moniz,Madeira,Região Autónoma da Madeira
LOCAL-320100,Porto Santo,Madeira,Região Autónoma da Madeira
LOCAL-310700,Ribeira Brava,Madeira,Região Autónoma da Madeira
LOCAL-310800,Santa Cruz,Madeira,Região Autónoma da Madeira
LOCAL-310900,Santana,Madeira,Região Autónoma da Madeira
LOCAL-311000,São Vicente,Madeira,Região Autónoma da Madeira
LOCAL-120100,Alter do Chão,Portalegre,Alentejo
LOCAL-120200,Arronches,Portalegre,Alentejo
LOCAL-120300,Avis,Portalegre,Alentejo
LOCAL-120400,Campo Maior,Portalegre,Alentejo
LOCAL-120500,Castelo de Vide,Portalegre,Alentejo
LOCAL-120600,Crato,Portalegre,Alentejo
LOCAL-120700,Elvas,Portalegre,Alentejo
LOCAL-120800,Fronteira,Portalegre,Alentejo
LOCAL-120900,Gavião,Portalegre,Alentejo
LOCAL-121000,Marvão,Portalegre,Alentejo
LOCAL-121100,Monforte,Portalegre,Alentejo
LOCAL-121200,Nisa,Portalegre,Alentejo
LOCAL-121300,Ponte de Sor,Portalegre,Alentejo
LOCAL-121400,Portalegre,Portalegre,Alentejo
LOCAL-121500,Sousel,Portalegre,Alentejo
LOCAL-130100,Amarante,Porto,Norte
LOCAL-130200,Baião,Porto,Norte
LOCAL-130300,Felgueiras,Porto,Norte
LOCAL-130400,Gondomar,Porto,Norte
LOCAL-130500,Lousada,Porto,Norte
LOCAL-130600,Maia,Porto,Norte
LOCAL-130700,Marco de Canaveses,Porto,Norte
LOCAL-130800,Matosinhos,Porto,Norte
LOCAL-131000,Paredes,Porto,Norte
LOCAL-130900,Paços de Ferreira,Porto,Norte
LOCAL-131100,Penafiel,Porto,Norte
LOCAL-131200,Porto,Porto,Norte
LOCAL-131300,Póvoa de Varzim,Porto,Norte
LOCAL-131400,Santo Tirso,Porto,Norte
LOCAL-131800,Trofa,Porto,Norte
LOCAL-131500,Valongo,Porto,Norte
LOCAL-131700,Vila Nova de Gaia,Porto,Norte
LOCAL-131600,Vila do Conde,Porto,Norte
LOCAL-140100,Abrantes,Santarém,Área Metropolitana de Lisboa
LOCAL-140200,Alcanena,Santarém,Área Metropolitana de Lisboa
LOCAL-140300,Almeirim,Santarém,Área Metropolitana de Lisboa
LOCAL-140400,Alpiarça,Santarém,Área Metropolitana de Lisboa
LOCAL-140500,Benavente,Santarém,Área Metropolitana de Lisboa
LOCAL-140600,Cartaxo,Santarém,Área Metropolitana de Lisboa
LOCAL-140700,Chamusca,Santarém,Área Metropolitana de Lisboa
LOCAL-140800,Constância,Santarém,Área Metropolitana de Lisboa
LOCAL-140900,Coruche,Santarém,Área Metropolitana de Lisboa
LOCAL-141000,Entroncamento,Santarém,Área Metropolitana de Lisboa
LOCAL-141100,Ferreira do Zêzere,Santarém,Área Metropolitana de Lisboa
LOCAL-141200,Golegã,Santarém,Área Metropolitana de Lisboa
LOCAL-141300,Mação,Santarém,Área Metropolitana de Lisboa
LOCAL-142100,Ourém,Santarém,Área Metropolitana de Lisboa
LOCAL-141400,Rio Maior,Santarém,Área Metropolitana de Lisboa
LOCAL-141500,Salvaterra de Magos,Santarém,Área Metropolitana de Lisboa
LOCAL-141600,Santarém,Santarém,Área Metropolitana de Lisboa
LOCAL-141700,Sardoal,Santarém,Área Metropolitana de Lisboa
LOCAL-141800,Tomar,Santarém,Área Metropolitana de Lisboa
LOCAL-141900,Torres Novas,Santarém,Área Metropolitana de Lisboa
LOCAL-142000,Vila Nova da Barquinha,Santarém,Área Metropolitana de Lisboa
LOCAL-150200,Alcochete,Setúbal,Área Metropolitana de Lisboa
LOCAL-150100,Alcácer do Sal,Setúbal,Área Metropolitana de Lisboa
LOCAL-150300,Almada,Setúbal,Área Metropolitana de Lisboa
LOCAL-150400,Barreiro,Setúbal,Área Metropolitana de Lisboa
LOCAL-150500,Grândola,Setúbal,Área Metropolitana de Lisboa
LOCAL-150600,Moita,Setúbal,Área Metropolitana de Lisboa
LOCAL-150700,Montijo,Setúbal,Área Metropolitana de Lisboa
LOCAL-150800,Palmela,Setúbal,Área Metropolitana de Lisboa
LOCAL-150900,Santiago do Cacém,Setúbal,Área Metropolitana de Lisboa
LOCAL-151000,Seixal,Setúbal,Área Metropolitana de Lisboa
LOCAL-151100,Sesimbra,Setúbal,Área Metropolitana de Lisboa
LOCAL-151200,Setúbal,Setúbal,Área Metropolitana de Lisboa
LOCAL-151300,Sines,Setúbal,Área Metropolitana de Lisboa
LOCAL-160100,Arcos de Valdevez,Viana do Castelo,Norte
LOCAL-160200,Caminha,Viana do Castelo,Norte
LOCAL-160300,Melgaço,Viana do Castelo,Norte
LOCAL-160400,Monção,Viana do Castelo,Norte
LOCAL-160500,Paredes de Coura,Viana do Castelo,Norte
LOCAL-160600,Ponte da Barca,Viana do Castelo,Norte
LOCAL-160700,Ponte de Lima,Viana do Castelo,Norte
LOCAL-160800,Valença,Viana do Castelo,Norte
LOCAL-160900,Viana do Castelo,Viana do Castelo,Norte
LOCAL-161000,Vila Nova de Cerveira,Viana do Castelo,Norte
LOCAL-170100,Alijó,Vila Real,Norte
LOCAL-170200,Boticas,Vila Real,Norte
LOCAL-170300,Chaves,Vila Real,Norte
LOCAL-170400,Mesão Frio,Vila Real,Norte
LOCAL-170500,Mondim de Basto,Vila Real,Norte
LOCAL-170600,Montalegre,Vila Real,Norte
LOCAL-170700,Murça,Vila Real,Norte
LOCAL-170800,Peso da Régua,Vila Real,Norte
LOCAL-170900,Ribeira de Pena,Vila Real,Norte
LOCAL-171000,Sabrosa,Vila Real,Norte
LOCAL-171100,Santa Marta de Penaguião,Vila Real,Norte
LOCAL-171200,Valpaços,Vila Real,Norte
LOCAL-171300,Vila Pouca de Aguiar,Vila Real,Norte
LOCAL-171400,Vila Real,Vila Real,Norte
LOCAL-180100,Armamar,Viseu,Centro
LOCAL-180200,Carregal do Sal,Viseu,Centro
LOCAL-180300,Castro Daire,Viseu,Centro
LOCAL-180400,Cinfães,Viseu,Centro
LOCAL-180500,Lamego,Viseu,Centro
LOCAL-180600,Mangualde,Viseu,Centro
LOCAL-180700,Moimenta da Beira,Viseu,Centro
LOCAL-180800,Mortágua,Viseu,Centro
LOCAL-180900,Nelas,Viseu,Centro
LOCAL-181000,Oliveira de Frades,Viseu,Centro
LOCAL-181100,Penalva do Castelo,Viseu,Centro
LOCAL-181200,Penedono,Viseu,Centro
LOCAL-181300,Resende,Viseu,Centro
LOCAL-181400,Santa Comba Dão,Viseu,Centro
LOCAL-181800,Sernancelhe,Viseu,Centro
LOCAL-181700,Sátão,Viseu,Centro
LOCAL-181500,São João da Pesqueira,Viseu,Centro
