territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-440100,440100,440100,Santa Cruz da Graciosa,concelho,6,LOCAL-400000,Açores,LOCAL-440100,Santa Cruz da Graciosa,,,Região Autónoma dos Açores
LOCAL-480200,480200,480200,Santa Cruz das Flores,concelho,6,LOCAL-400000,Açores,LOCAL-480200,Santa Cruz das Flores,,,Região Autónoma dos Açores
LOCAL-460300,460300,460300,São Roque do Pico,concelho,6,LOCAL-400000,Açores,LOCAL-460300,São Roque do Pico,,,Região Autónoma dos Açores
LOCAL-450200,450200,450200,Velas,concelho,6,LOCAL-400000,Açores,LOCAL-450200,Velas,,,Região Autónoma dos Açores
LOCAL-420600,420600,420600,Vila Franca do Campo,concelho,6,LOCAL-400000,Açores,LOCAL-420600,Vila Franca do Campo,,,Região Autónoma dos Açores
LOCAL-430200,430200,430200,Vila da Praia da Vitória,concelho,6,LOCAL-400000,Açores,LOCAL-430200,Vila da Praia da Vitória,,,Região Autónoma dos Açores
LOCAL-410100,410100,410100,Vila do Porto,concelho,6,LOCAL-400000,Açores,LOCAL-410100,Vila do Porto,,,Região Autónoma dos Açores
LOCAL-020100,020100,20100,Aljustrel,concelho,6,LOCAL-020000,Beja,LOCAL-020100,Aljustrel,,,Alentejo
LOCAL-020200,020200,20200,Almodôvar,concelho,6,LOCAL-020000,Beja,LOCAL-020200,Almodôvar,,,Alentejo
LOCAL-020300,020300,20300,Alvito,concelho,6,LOCAL-020000,Beja,LOCAL-020300,Alvito,,,Alentejo
LOCAL-020400,020400,20400,Barrancos,concelho,6,LOCAL-020000,Beja,LOCAL-020400,Barrancos,,,Alentejo
LOCAL-020500,020500,20500,Beja,concelho,6,LOCAL-020000,Beja,LOCAL-020500,Beja,,,Alentejo
LOCAL-020600,020600,20600,Castro Verde,concelho,6,LOCAL-020000,Beja,LOCAL-020600,Castro Verde,,,Alentejo
LOCAL-020700,020700,20700,Cuba,concelho,6,LOCAL-020000,Beja,LOCAL-020700,Cuba,,,Alentejo
LOCAL-020800,020800,20800,Ferreira do Alentejo,concelho,6,LOCAL-020000,Beja,LOCAL-020800,Ferreira do Alentejo,,,Alentejo
LOCAL-021000,021000,21000,Moura,concelho,6,LOCAL-020000,Beja,LOCAL-021000,Moura,,,Alentejo
LOCAL-020900,020900,20900,Mértola,concelho,6,LOCAL-020000,Beja,LOCAL-020900,Mértola,,,Alentejo
LOCAL-021100,021100,21100,Odemira,concelho,6,LOCAL-020000,Beja,LOCAL-021100,Odemira,,,Alentejo
LOCAL-021200,021200,21200,Ourique,concelho,6,LOCAL-020000,Beja,LOCAL-021200,Ourique,,,Alentejo
LOCAL-021300,021300,21300,Serpa,concelho,6,LOCAL-020000,Beja,LOCAL-021300,Serpa,,,Alentejo
LOCAL-021400,021400,21400,Vidigueira,concelho,6,LOCAL-020000,Beja,LOCAL-021400,Vidigueira,,,Alentejo
LOCAL-030100,030100,30100,Amares,concelho,6,LOCAL-030000,Braga,LOCAL-030100,Amares,,,Norte
LOCAL-030200,030200,30200,Barcelos,concelho,6,LOCAL-030000,Braga,LOCAL-030200,Barcelos,,,Norte
LOCAL-030300,030300,30300,Braga,concelho,6,LOCAL-030000,Braga,LOCAL-030300,Braga,,,Norte
LOCAL-030400,030400,30400,Cabeceiras de Basto,concelho,6,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,,,Norte
LOCAL-030500,030500,30500,Celorico de Basto,concelho,6,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,,,Norte
LOCAL-030600,030600,30600,Esposende,concelho,6,LOCAL-030000,Braga,LOCAL-030600,Esposende,,,Norte
LOCAL-030700,030700,30700,Fafe,concelho,6,LOCAL-030000,Braga,LOCAL-030700,Fafe,,,Norte
LOCAL-030800,030800,30800,Guimarães,concelho,6,LOCAL-030000,Braga,LOCAL-030800,Guimarães,,,Norte
LOCAL-030900,030900,30900,Póvoa de Lanhoso,concelho,6,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,,,Norte
LOCAL-031000,031000,31000,Terras de Bouro,concelho,6,LOCAL-030000,Braga,LOCAL-031000,Terras de Bouro,,,Norte
LOCAL-031100,031100,31100,Vieira do Minho,concelho,6,LOCAL-030000,Braga,LOCAL-031100,Vieira do Minho,,,Norte
LOCAL-031200,031200,31200,Vila Nova de Famalicão,concelho,6,LOCAL-030000,Braga,LOCAL-031200,Vila Nova de Famalicão,,,Norte
LOCAL-031300,031300,31300,Vila Verde,concelho,6,LOCAL-030000,Braga,LOCAL-031300,Vila Verde,,,Norte
