territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-030264,030264,030264,Roriz,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030264,Roriz,Norte
LOCAL-0302FD,0302FD,0302FD,Sequeade e Bastuço (São João e Santo Estevão),freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-0302FD,Sequeade e Bastuço (São João e Santo Estevão),Norte
LOCAL-030279,030279,030279,Silva,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030279,Silva,Norte
LOCAL-0302FE,0302FE,0302FE,Silveiros e Rio Covo (Santa Eulália),freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-0302FE,Silveiros e Rio Covo (Santa Eulália),Norte
LOCAL-0302FF,0302FF,0302FF,Tamel (Santa Leocádia) e Vilar do Monte,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-0302FF,Tamel (Santa Leocádia) e Vilar do Monte,Norte
LOCAL-030277,030277,030277,Tamel (São Veríssimo),freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030277,Tamel (São Veríssimo),Norte
LOCAL-030282,030282,030282,Ucha,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030282,Ucha,Norte
LOCAL-0302FG,0302FG,0302FG,"Viatodos, Grimancelos, Minhotães, Monte de Fralães",freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-0302FG,"Viatodos, Grimancelos, Minhotães, Monte de Fralães",Norte
LOCAL-0302FH,0302FH,0302FH,Vila Cova e Feitos,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-0302FH,Vila Cova e Feitos,Norte
LOCAL-030287,030287,030287,Vila Seca,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030287,Vila Seca,Norte
LOCAL-030283,030283,030283,Várzea,freguesia,7,LOCAL-030000,Braga,LOCAL-030200,Barcelos,LOCAL-030283,Várzea,Norte
LOCAL-030301,030301,030301,Adaúfe,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030301,Adaúfe,Norte
LOCAL-030363,030363,030363,Arentim e Cunha,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030363,Arentim e Cunha,Norte
LOCAL-030364,030364,030364,"Braga (Maximinos, Sé e Cividade)",freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030364,"Braga (Maximinos, Sé e Cividade)",Norte
LOCAL-030365,030365,030365,Braga (São José de São Lázaro e São João do Souto),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030365,Braga (São José de São Lázaro e São João do Souto),Norte
LOCAL-030349,030349,030349,Braga (São Vicente),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030349,Braga (São Vicente),Norte
LOCAL-030351,030351,030351,Braga (São Vítor),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030351,Braga (São Vítor),Norte
LOCAL-030366,030366,030366,Cabreiros e Passos (São Julião),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030366,Cabreiros e Passos (São Julião),Norte
LOCAL-030367,030367,030367,"Celeirós, Aveleda e Vimieiro",freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030367,"Celeirós, Aveleda e Vimieiro",Norte
LOCAL-030368,030368,030368,Crespos e Pousada,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030368,Crespos e Pousada,Norte
LOCAL-030369,030369,030369,Escudeiros e Penso (Santo Estêvão e São Vicente),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030369,Escudeiros e Penso (Santo Estêvão e São Vicente),Norte
LOCAL-030312,030312,030312,Espinho,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030312,Espinho,Norte
LOCAL-030313,030313,030313,Esporões,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030313,Esporões,Norte
LOCAL-030370,030370,030370,Este (São Pedro e São Mamede),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030370,Este (São Pedro e São Mamede),Norte
LOCAL-030371,030371,030371,Ferreiros e Gondizalves,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030371,Ferreiros e Gondizalves,Norte
LOCAL-030315,030315,030315,Figueiredo,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030315,Figueiredo,Norte
LOCAL-030319,030319,030319,Gualtar,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030319,Gualtar,Norte
LOCAL-030372,030372,030372,Guisande e Oliveira (São Pedro),freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030372,Guisande e Oliveira (São Pedro),Norte
LOCAL-030322,030322,030322,Lamas,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030322,Lamas,Norte
LOCAL-030373,030373,030373,Lomar e Arcos,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030373,Lomar e Arcos,Norte
LOCAL-030374,030374,030374,"Merelim (São Paio), Panoias e Parada de Tibães",freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030374,"Merelim (São Paio), Panoias e Parada de Tibães",Norte
LOCAL-030375,030375,030375,Merelim (São Pedro) e Frossos,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030375,Merelim (São Pedro) e Frossos,Norte
LOCAL-030325,030325,030325,Mire de Tibães,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030325,Mire de Tibães,Norte
LOCAL-030376,030376,030376,Morreira e Trandeiras,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030376,Morreira e Trandeiras,Norte
LOCAL-030377,030377,030377,"Nogueira, Fraião e Lamaçães",freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030377,"Nogueira, Fraião e Lamaçães",Norte
LOCAL-030378,030378,030378,Nogueiró e Tenões,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030378,Nogueiró e Tenões,Norte
LOCAL-030330,030330,030330,Padim da Graça,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030330,Padim da Graça,Norte
LOCAL-030331,030331,030331,Palmeira,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030331,Palmeira,Norte
LOCAL-030334,030334,030334,Pedralva,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030334,Pedralva,Norte
LOCAL-030336,030336,030336,Priscos,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030336,Priscos,Norte
LOCAL-030379,030379,030379,"Real, Dume e Semelhe",freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030379,"Real, Dume e Semelhe",Norte
LOCAL-030338,030338,030338,Ruilhe,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030338,Ruilhe,Norte
LOCAL-030380,030380,030380,Santa Lucrécia de Algeriz e Navarra,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030380,Santa Lucrécia de Algeriz e Navarra,Norte
LOCAL-030354,030354,030354,Sequeira,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030354,Sequeira,Norte
LOCAL-030355,030355,030355,Sobreposta,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030355,Sobreposta,Norte
LOCAL-030356,030356,030356,Tadim,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030356,Tadim,Norte
LOCAL-030357,030357,030357,Tebosa,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030357,Tebosa,Norte
LOCAL-030381,030381,030381,Vilaça e Fradelos,freguesia,7,LOCAL-030000,Braga,LOCAL-030300,Braga,LOCAL-030381,Vilaça e Fradelos,Norte
LOCAL-030401,030401,030401,Abadim,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030401,Abadim,Norte
LOCAL-030418,030418,030418,Alvite e Passos,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030418,Alvite e Passos,Norte
LOCAL-030419,030419,030419,Arco de Baúlhe e Vila Nune,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030419,Arco de Baúlhe e Vila Nune,Norte
LOCAL-030404,030404,030404,Basto,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030404,Basto,Norte
LOCAL-030405,030405,030405,Bucos,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030405,Bucos,Norte
LOCAL-030406,030406,030406,Cabeceiras de Basto,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030406,Cabeceiras de Basto,Norte
LOCAL-030407,030407,030407,Cavez,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030407,Cavez,Norte
LOCAL-030408,030408,030408,Faia,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030408,Faia,Norte
LOCAL-030420,030420,030420,Gondiães e Vilar de Cunhas,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030420,Gondiães e Vilar de Cunhas,Norte
LOCAL-030413,030413,030413,Pedraça,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030413,Pedraça,Norte
LOCAL-030421,030421,030421,"Refojos de Basto, Outeiro e Painzela",freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030421,"Refojos de Basto, Outeiro e Painzela",Norte
LOCAL-030415,030415,030415,Rio Douro,freguesia,7,LOCAL-030000,Braga,LOCAL-030400,Cabeceiras de Basto,LOCAL-030415,Rio Douro,Norte
LOCAL-030501,030501,030501,Agilde,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030501,Agilde,Norte
LOCAL-030502,030502,030502,Arnóia,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030502,Arnóia,Norte
LOCAL-030520,030520,030520,Basto (São Clemente),freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030520,Basto (São Clemente),Norte
LOCAL-030503,030503,030503,Borba de Montanha,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030503,Borba de Montanha,Norte
LOCAL-030523,030523,030523,"Britelo, Gémeos e Ourilhe",freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030523,"Britelo, Gémeos e Ourilhe",Norte
LOCAL-030525,030525,030525,Canedo de Basto e Corgo,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030525,Canedo de Basto e Corgo,Norte
LOCAL-030526,030526,030526,Carvalho e Basto (Santa Tecla),freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030526,Carvalho e Basto (Santa Tecla),Norte
LOCAL-030524,030524,030524,Caçarilhe e Infesta,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030524,Caçarilhe e Infesta,Norte
LOCAL-030508,030508,030508,Codeçoso,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030508,Codeçoso,Norte
LOCAL-030510,030510,030510,Fervença,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030510,Fervença,Norte
LOCAL-030515,030515,030515,Moreira do Castelo,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030515,Moreira do Castelo,Norte
LOCAL-030517,030517,030517,Rego,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030517,Rego,Norte
LOCAL-030518,030518,030518,Ribas,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030518,Ribas,Norte
LOCAL-030521,030521,030521,Vale de Bouro,freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030521,Vale de Bouro,Norte
LOCAL-030527,030527,030527,"Veade, Gagos e Molares",freguesia,7,LOCAL-030000,Braga,LOCAL-030500,Celorico de Basto,LOCAL-030527,"Veade, Gagos e Molares",Norte
LOCAL-030601,030601,030601,Antas,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030601,Antas,Norte
LOCAL-030616,030616,030616,Apúlia e Fão,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030616,Apúlia e Fão,Norte
LOCAL-030617,030617,030617,Belinho e Mar,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030617,Belinho e Mar,Norte
LOCAL-030618,030618,030618,"Esposende, Marinhas e Gandra",freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030618,"Esposende, Marinhas e Gandra",Norte
LOCAL-030619,030619,030619,Fonte Boa e Rio Tinto,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030619,Fonte Boa e Rio Tinto,Norte
LOCAL-030608,030608,030608,Forjães,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030608,Forjães,Norte
LOCAL-030610,030610,030610,Gemeses,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030610,Gemeses,Norte
LOCAL-030620,030620,030620,Palmeira de Faro e Curvos,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030620,Palmeira de Faro e Curvos,Norte
LOCAL-030615,030615,030615,Vila Chã,freguesia,7,LOCAL-030000,Braga,LOCAL-030600,Esposende,LOCAL-030615,Vila Chã,Norte
LOCAL-030737,030737,030737,"Aboim, Felgueiras, Gontim e Pedraído",freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030737,"Aboim, Felgueiras, Gontim e Pedraído",Norte
LOCAL-030738,030738,030738,Agrela e Serafão,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030738,Agrela e Serafão,Norte
LOCAL-030739,030739,030739,Antime e Silvares (São Clemente),freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030739,Antime e Silvares (São Clemente),Norte
LOCAL-030740,030740,030740,"Ardegão, Arnozela e Seidões",freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030740,"Ardegão, Arnozela e Seidões",Norte
LOCAL-030705,030705,030705,Armil,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030705,Armil,Norte
LOCAL-030726,030726,030726,Arões (Santa Cristina),freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030726,Arões (Santa Cristina),Norte
LOCAL-030730,030730,030730,Arões (São Romão),freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030730,Arões (São Romão),Norte
LOCAL-030741,030741,030741,Cepães e Fareja,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030741,Cepães e Fareja,Norte
LOCAL-030708,030708,030708,Estorãos,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030708,Estorãos,Norte
LOCAL-030709,030709,030709,Fafe,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030709,Fafe,Norte
LOCAL-030712,030712,030712,Fornelos,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030712,Fornelos,Norte
LOCAL-030742,030742,030742,Freitas e Vila Cova,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030742,Freitas e Vila Cova,Norte
LOCAL-030714,030714,030714,Golães,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030714,Golães,Norte
LOCAL-030716,030716,030716,Medelo,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030716,Medelo,Norte
LOCAL-030743,030743,030743,Monte e Queimadela,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030743,Monte e Queimadela,Norte
LOCAL-030744,030744,030744,Moreira do Rei e Várzea Cova,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030744,Moreira do Rei e Várzea Cova,Norte
LOCAL-030719,030719,030719,Paços,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030719,Paços,Norte
LOCAL-030722,030722,030722,Quinchães,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030722,Quinchães,Norte
LOCAL-030723,030723,030723,Regadas,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030723,Regadas,Norte
LOCAL-030724,030724,030724,Revelhe,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030724,Revelhe,Norte
LOCAL-030725,030725,030725,Ribeiros,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030725,Ribeiros,Norte
LOCAL-030729,030729,030729,Silvares (São Martinho),freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030729,Silvares (São Martinho),Norte
LOCAL-030728,030728,030728,São Gens,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030728,São Gens,Norte
LOCAL-030733,030733,030733,Travassós,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030733,Travassós,Norte
LOCAL-030736,030736,030736,Vinhós,freguesia,7,LOCAL-030000,Braga,LOCAL-030700,Fafe,LOCAL-030736,Vinhós,Norte
LOCAL-030875,030875,030875,Abação e Gémeos,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030875,Abação e Gémeos,Norte
LOCAL-030876,030876,030876,"Airão Santa Maria, Airão São João e Vermil",freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030876,"Airão Santa Maria, Airão São João e Vermil",Norte
LOCAL-030801,030801,030801,Aldão,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030801,Aldão,Norte
LOCAL-030877,030877,030877,Arosa e Castelões,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030877,Arosa e Castelões,Norte
LOCAL-030878,030878,030878,Atães e Rendufe,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030878,Atães e Rendufe,Norte
LOCAL-030804,030804,030804,Azurém,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030804,Azurém,Norte
LOCAL-030806,030806,030806,Barco,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030806,Barco,Norte
LOCAL-030879,030879,030879,Briteiros Santo Estêvão e Donim,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030879,Briteiros Santo Estêvão e Donim,Norte
LOCAL-030880,030880,030880,Briteiros São Salvador e Briteiros Santa Leocádia,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030880,Briteiros São Salvador e Briteiros Santa Leocádia,Norte
LOCAL-030807,030807,030807,Brito,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030807,Brito,Norte
LOCAL-030808,030808,030808,Caldelas,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030808,Caldelas,Norte
LOCAL-030857,030857,030857,Candoso (São Martinho),freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030857,Candoso (São Martinho),Norte
LOCAL-030881,030881,030881,Candoso São Tiago e Mascotelos,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030881,Candoso São Tiago e Mascotelos,Norte
LOCAL-030882,030882,030882,Conde e Gandarela,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030882,Conde e Gandarela,Norte
LOCAL-030812,030812,030812,Costa,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030812,Costa,Norte
LOCAL-030813,030813,030813,Creixomil,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030813,Creixomil,Norte
LOCAL-030815,030815,030815,Fermentões,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030815,Fermentões,Norte
LOCAL-030821,030821,030821,Gondar,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030821,Gondar,Norte
LOCAL-030820,030820,030820,Gonça,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030820,Gonça,Norte
LOCAL-030823,030823,030823,Guardizela,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030823,Guardizela,Norte
LOCAL-030824,030824,030824,Infantas,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030824,Infantas,Norte
LOCAL-030883,030883,030883,"Leitões, Oleiros e Figueiredo",freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030883,"Leitões, Oleiros e Figueiredo",Norte
LOCAL-030827,030827,030827,Longos,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030827,Longos,Norte
LOCAL-030828,030828,030828,Lordelo,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030828,Lordelo,Norte
LOCAL-030830,030830,030830,Mesão Frio,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030830,Mesão Frio,Norte
LOCAL-030831,030831,030831,Moreira de Cónegos,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030831,Moreira de Cónegos,Norte
LOCAL-030832,030832,030832,Nespereira,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030832,Nespereira,Norte
LOCAL-030884,030884,030884,"Oliveira, São Paio e São Sebastião",freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030884,"Oliveira, São Paio e São Sebastião",Norte
LOCAL-030835,030835,030835,Pencelo,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030835,Pencelo,Norte
LOCAL-030836,030836,030836,Pinheiro,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030836,Pinheiro,Norte
LOCAL-030837,030837,030837,Polvoreira,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030837,Polvoreira,Norte
LOCAL-030838,030838,030838,Ponte,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030838,Ponte,Norte
LOCAL-030842,030842,030842,Prazins (Santa Eufémia),freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030842,Prazins (Santa Eufémia),Norte
LOCAL-030885,030885,030885,Prazins Santo Tirso e Corvite,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030885,Prazins Santo Tirso e Corvite,Norte
LOCAL-030840,030840,030840,Ronfe,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030840,Ronfe,Norte
LOCAL-030858,030858,030858,Sande (São Martinho),freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030858,Sande (São Martinho),Norte
LOCAL-030886,030886,030886,Sande São Lourenço e Balazar,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030886,Sande São Lourenço e Balazar,Norte
LOCAL-030887,030887,030887,Sande Vila Nova e Sande São Clemente,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030887,Sande Vila Nova e Sande São Clemente,Norte
LOCAL-030850,030850,030850,Selho (São Cristóvão),freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030850,Selho (São Cristóvão),Norte
LOCAL-030854,030854,030854,Selho (São Jorge),freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030854,Selho (São Jorge),Norte
LOCAL-030888,030888,030888,Selho São Lourenço e Gominhães,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030888,Selho São Lourenço e Gominhães,Norte
LOCAL-030866,030866,030866,Serzedelo,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030866,Serzedelo,Norte
LOCAL-030889,030889,030889,Serzedo e Calvos,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030889,Serzedo e Calvos,Norte
LOCAL-030868,030868,030868,Silvares,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030868,Silvares,Norte
LOCAL-030890,030890,030890,"Souto Santa Maria, Souto São Salvador e Gondomar",freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030890,"Souto Santa Maria, Souto São Salvador e Gondomar",Norte
LOCAL-030865,030865,030865,São Torcato,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030865,São Torcato,Norte
LOCAL-030891,030891,030891,Tabuadelo e São Faustino,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030891,Tabuadelo e São Faustino,Norte
LOCAL-030871,030871,030871,Urgezes,freguesia,7,LOCAL-030000,Braga,LOCAL-030800,Guimarães,LOCAL-030871,Urgezes,Norte
LOCAL-030931,030931,030931,Calvos e Frades,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030931,Calvos e Frades,Norte
LOCAL-030932,030932,030932,Campos e Louredo,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030932,Campos e Louredo,Norte
LOCAL-030906,030906,030906,Covelas,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030906,Covelas,Norte
LOCAL-030933,030933,030933,Esperança e Brunhais,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030933,Esperança e Brunhais,Norte
LOCAL-030908,030908,030908,Ferreiros,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030908,Ferreiros,Norte
LOCAL-030934,030934,030934,Fonte Arcada e Oliveira,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030934,Fonte Arcada e Oliveira,Norte
LOCAL-030912,030912,030912,Galegos,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030912,Galegos,Norte
LOCAL-030913,030913,030913,Garfe,freguesia,7,LOCAL-030000,Braga,LOCAL-030900,Póvoa de Lanhoso,LOCAL-030913,Garfe,Norte
