territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-010505,010505,010505,Esgueira,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010517,010517,010517,Glória e Vera Cruz,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010508,010508,010508,Oliveirinha,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010516,010516,010516,"Requeixo, Nossa Senhora de Fátima e Nariz",freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010513,010513,010513,Santa Joana,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010510,010510,010510,São Bernardo,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010511,010511,010511,São Jacinto,freguesia,7,LOCAL-010500,010500,Aveiro,LOCAL-010500,Aveiro,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010602,010602,010602,Fornos,freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010610,010610,010610,"Raiva, Pedorido e Paraíso",freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010606,010606,010606,Real,freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010607,010607,010607,Santa Maria de Sardoura,freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010611,010611,010611,Sobrado e Bairros,freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010608,010608,010608,São Martinho de Sardoura,freguesia,7,LOCAL-010600,010600,Castelo de Paiva,LOCAL-010600,Castelo de Paiva,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010706,010706,010706,Anta e Guetim,freguesia,7,LOCAL-010700,010700,Espinho,LOCAL-010700,Espinho,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010702,010702,010702,Espinho,freguesia,7,LOCAL-010700,010700,Espinho,LOCAL-010700,Espinho,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010704,010704,010704,Paramos,freguesia,7,LOCAL-010700,010700,Espinho,LOCAL-010700,Espinho,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010705,010705,010705,Silvalde,freguesia,7,LOCAL-010700,010700,Espinho,LOCAL-010700,Espinho,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010801,010801,010801,Avanca,freguesia,7,LOCAL-010800,010800,Estarreja,LOCAL-010800,Estarreja,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010808,010808,010808,Beduído e Veiros,freguesia,7,LOCAL-010800,010800,Estarreja,LOCAL-010800,Estarreja,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010809,010809,010809,Canelas e Fermelã,freguesia,7,LOCAL-010800,010800,Estarreja,LOCAL-010800,Estarreja,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010805,010805,010805,Pardilhó,freguesia,7,LOCAL-010800,010800,Estarreja,LOCAL-010800,Estarreja,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010806,010806,010806,Salreu,freguesia,7,LOCAL-010800,010800,Estarreja,LOCAL-010800,Estarreja,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011102,011102,011102,Barcouço,freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011103,011103,011103,Casal Comba,freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011104,011104,011104,Luso,freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011109,011109,011109,"Mealhada, Ventosa do Bairro e Antes",freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011106,011106,011106,Pampilhosa,freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011107,011107,011107,Vacariça,freguesia,7,LOCAL-011100,011100,Mealhada,LOCAL-011100,Mealhada,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011201,011201,011201,Bunheiro,freguesia,7,LOCAL-011200,011200,Murtosa,LOCAL-011200,Murtosa,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011202,011202,011202,Monte,freguesia,7,LOCAL-011200,011200,Murtosa,LOCAL-011200,Murtosa,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011203,011203,011203,Murtosa,freguesia,7,LOCAL-011200,011200,Murtosa,LOCAL-011200,Murtosa,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011204,011204,011204,Torreira,freguesia,7,LOCAL-011200,011200,Murtosa,LOCAL-011200,Murtosa,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011301,011301,011301,Carregosa,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011302,011302,011302,Cesar,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011303,011303,011303,Fajões,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011304,011304,011304,Loureiro,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011305,011305,011305,Macieira de Sarnes,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011320,011320,011320,Nogueira do Cravo e Pindelo,freguesia,7,LOCAL-011300,011300,Oliveira de Azeméis,LOCAL-011300,Oliveira de Azeméis,LOCAL-010000,010000,Aveiro,Centro
