territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-030212,030212,030212,Balugães,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030213,030213,030213,Barcelinhos,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030293,030293,030293,"Barcelos, Vila Boa e Vila Frescainha",freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030215,030215,030215,Barqueiros,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030216,030216,030216,Cambeses,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030294,030294,030294,Campo e Tamel (São Pedro Fins),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030218,030218,030218,Carapeços,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030295,030295,030295,Carreira e Fonte Coberta,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030220,030220,030220,Carvalhal,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030221,030221,030221,Carvalhas,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030296,030296,030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030224,030224,030224,Cossourado,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030297,030297,030297,Creixomil e Mariz,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030228,030228,030228,Cristelo,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030298,030298,030298,Durrães e Tregosa,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030234,030234,030234,Fornelos,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030235,030235,030235,Fragoso,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030268,030268,030268,Galegos (Santa Maria),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030272,030272,030272,Galegos (São Martinho),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030299,030299,030299,Gamil e Midões,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030237,030237,030237,Gilmonde,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030242,030242,030242,Lama,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030243,030243,030243,Lijó,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030244,030244,030244,Macieira de Rates,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030245,030245,030245,Manhente,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030247,030247,030247,Martim,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FA,0302FA,0302FA,"Milhazes, Vilar de Figos e Faria",freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030252,030252,030252,Moure,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FB,0302FB,0302FB,Negreiros e Chavão,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030254,030254,030254,Oliveira,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030255,030255,030255,Palme,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030256,030256,030256,Panque,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030257,030257,030257,Paradela,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030259,030259,030259,Pereira,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030260,030260,030260,Perelhal,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030261,030261,030261,Pousa,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FC,0302FC,0302FC,Quintiães e Aguiar,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030263,030263,030263,Remelhe,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030265,030265,030265,Rio Covo (Santa Eugénia),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030264,030264,030264,Roriz,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FD,0302FD,0302FD,Sequeade e Bastuço (São João e Santo Estevão),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030279,030279,030279,Silva,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FE,0302FE,0302FE,Silveiros e Rio Covo (Santa Eulália),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FF,0302FF,0302FF,Tamel (Santa Leocádia) e Vilar do Monte,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030277,030277,030277,Tamel (São Veríssimo),freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030282,030282,030282,Ucha,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FG,0302FG,0302FG,"Viatodos, Grimancelos, Minhotães, Monte de Fralães",freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-0302FH,0302FH,0302FH,Vila Cova e Feitos,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030287,030287,030287,Vila Seca,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030283,030283,030283,Várzea,freguesia,7,LOCAL-030200,030200,Barcelos,LOCAL-030200,Barcelos,LOCAL-030000,030000,Braga,Norte
LOCAL-030301,030301,030301,Adaúfe,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030363,030363,030363,Arentim e Cunha,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030364,030364,030364,"Braga (Maximinos, Sé e Cividade)",freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030365,030365,030365,Braga (São José de São Lázaro e São João do Souto),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030349,030349,030349,Braga (São Vicente),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030351,030351,030351,Braga (São Vítor),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030366,030366,030366,Cabreiros e Passos (São Julião),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030367,030367,030367,"Celeirós, Aveleda e Vimieiro",freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030368,030368,030368,Crespos e Pousada,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030369,030369,030369,Escudeiros e Penso (Santo Estêvão e São Vicente),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030312,030312,030312,Espinho,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030313,030313,030313,Esporões,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030370,030370,030370,Este (São Pedro e São Mamede),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030371,030371,030371,Ferreiros e Gondizalves,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030315,030315,030315,Figueiredo,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030319,030319,030319,Gualtar,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030372,030372,030372,Guisande e Oliveira (São Pedro),freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030322,030322,030322,Lamas,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030373,030373,030373,Lomar e Arcos,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030374,030374,030374,"Merelim (São Paio), Panoias e Parada de Tibães",freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030375,030375,030375,Merelim (São Pedro) e Frossos,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030325,030325,030325,Mire de Tibães,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030376,030376,030376,Morreira e Trandeiras,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030377,030377,030377,"Nogueira, Fraião e Lamaçães",freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030378,030378,030378,Nogueiró e Tenões,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030330,030330,030330,Padim da Graça,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030331,030331,030331,Palmeira,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030334,030334,030334,Pedralva,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030336,030336,030336,Priscos,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030379,030379,030379,"Real, Dume e Semelhe",freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030338,030338,030338,Ruilhe,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030380,030380,030380,Santa Lucrécia de Algeriz e Navarra,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030354,030354,030354,Sequeira,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030355,030355,030355,Sobreposta,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030356,030356,030356,Tadim,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030357,030357,030357,Tebosa,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030381,030381,030381,Vilaça e Fradelos,freguesia,7,LOCAL-030300,030300,Braga,LOCAL-030300,Braga,LOCAL-030000,030000,Braga,Norte
LOCAL-030401,030401,030401,Abadim,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030418,030418,030418,Alvite e Passos,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030419,030419,030419,Arco de Baúlhe e Vila Nune,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030404,030404,030404,Basto,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030405,030405,030405,Bucos,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030406,030406,030406,Cabeceiras de Basto,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030407,030407,030407,Cavez,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030408,030408,030408,Faia,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030420,030420,030420,Gondiães e Vilar de Cunhas,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030413,030413,030413,Pedraça,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030421,030421,030421,"Refojos de Basto, Outeiro e Painzela",freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030415,030415,030415,Rio Douro,freguesia,7,LOCAL-030400,030400,Cabeceiras de Basto,LOCAL-030400,Cabeceiras de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030501,030501,030501,Agilde,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030502,030502,030502,Arnóia,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030520,030520,030520,Basto (São Clemente),freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030503,030503,030503,Borba de Montanha,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030523,030523,030523,"Britelo, Gémeos e Ourilhe",freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030525,030525,030525,Canedo de Basto e Corgo,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030526,030526,030526,Carvalho e Basto (Santa Tecla),freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030524,030524,030524,Caçarilhe e Infesta,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030508,030508,030508,Codeçoso,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030510,030510,030510,Fervença,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030515,030515,030515,Moreira do Castelo,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030517,030517,030517,Rego,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030518,030518,030518,Ribas,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030521,030521,030521,Vale de Bouro,freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030527,030527,030527,"Veade, Gagos e Molares",freguesia,7,LOCAL-030500,030500,Celorico de Basto,LOCAL-030500,Celorico de Basto,LOCAL-030000,030000,Braga,Norte
LOCAL-030601,030601,030601,Antas,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030616,030616,030616,Apúlia e Fão,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030617,030617,030617,Belinho e Mar,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030618,030618,030618,"Esposende, Marinhas e Gandra",freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030619,030619,030619,Fonte Boa e Rio Tinto,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030608,030608,030608,Forjães,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030610,030610,030610,Gemeses,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030620,030620,030620,Palmeira de Faro e Curvos,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030615,030615,030615,Vila Chã,freguesia,7,LOCAL-030600,030600,Esposende,LOCAL-030600,Esposende,LOCAL-030000,030000,Braga,Norte
LOCAL-030737,030737,030737,"Aboim, Felgueiras, Gontim e Pedraído",freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030738,030738,030738,Agrela e Serafão,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030739,030739,030739,Antime e Silvares (São Clemente),freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030740,030740,030740,"Ardegão, Arnozela e Seidões",freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030705,030705,030705,Armil,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030726,030726,030726,Arões (Santa Cristina),freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030730,030730,030730,Arões (São Romão),freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030741,030741,030741,Cepães e Fareja,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030708,030708,030708,Estorãos,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030709,030709,030709,Fafe,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030712,030712,030712,Fornelos,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030742,030742,030742,Freitas e Vila Cova,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030714,030714,030714,Golães,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030716,030716,030716,Medelo,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030743,030743,030743,Monte e Queimadela,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030744,030744,030744,Moreira do Rei e Várzea Cova,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030719,030719,030719,Paços,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030722,030722,030722,Quinchães,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030723,030723,030723,Regadas,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030724,030724,030724,Revelhe,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030725,030725,030725,Ribeiros,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030729,030729,030729,Silvares (São Martinho),freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030728,030728,030728,São Gens,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030733,030733,030733,Travassós,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030736,030736,030736,Vinhós,freguesia,7,LOCAL-030700,030700,Fafe,LOCAL-030700,Fafe,LOCAL-030000,030000,Braga,Norte
LOCAL-030875,030875,030875,Abação e Gémeos,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030876,030876,030876,"Airão Santa Maria, Airão São João e Vermil",freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030801,030801,030801,Aldão,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030877,030877,030877,Arosa e Castelões,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030878,030878,030878,Atães e Rendufe,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030804,030804,030804,Azurém,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030806,030806,030806,Barco,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030879,030879,030879,Briteiros Santo Estêvão e Donim,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030880,030880,030880,Briteiros São Salvador e Briteiros Santa Leocádia,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030807,030807,030807,Brito,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030808,030808,030808,Caldelas,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030857,030857,030857,Candoso (São Martinho),freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030881,030881,030881,Candoso São Tiago e Mascotelos,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
LOCAL-030882,030882,030882,Conde e Gandarela,freguesia,7,LOCAL-030800,030800,Guimarães,LOCAL-030800,Guimarães,LOCAL-030000,030000,Braga,Norte
