territory_code,territory_name,district_code,municipality_code,parish_code,district_name,full_municipality_id,full_parish_id
LOCAL-010103,Aguada de Cima,01,01,03,Aveiro,01-01,01-01-03
LOCAL-010109,Fermentelos,01,01,09,Aveiro,01-01,01-01-09
LOCAL-010112,Macinhata do Vouga,01,01,12,Aveiro,01-01,01-01-12
LOCAL-010119,Valongo do Vouga,01,01,19,Aveiro,01-01,01-01-19
LOCAL-010121,Águeda e Borralha,01,01,21,Aveiro,01-01,01-01-21
LOCAL-010122,Barrô e Aguada de Baixo,01,01,22,Aveiro,01-01,01-01-22
LOCAL-010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",01,01,23,Aveiro,01-01,01-01-23
LOCAL-010124,Recardães e Espinhel,01,01,24,Aveiro,01-01,01-01-24
LOCAL-010125,Travassô e Óis da Ribeira,01,01,25,Aveiro,01-01,01-01-25
LOCAL-010126,"Trofa, Segadães e Lamas do Vouga",01,01,26,Aveiro,01-01,01-01-26
LOCAL-010127,Préstimo e Macieira de Alcoba,01,01,27,Aveiro,01-01,01-01-27
LOCAL-010202,Alquerubim,01,02,02,Aveiro,01-02,01-02-02
LOCAL-010203,Angeja,01,02,03,Aveiro,01-02,01-02-03
LOCAL-010204,Branca,01,02,04,Aveiro,01-02,01-02-04
LOCAL-010206,Ribeira de Fráguas,01,02,06,Aveiro,01-02,01-02-06
LOCAL-010209,Albergaria-a-Velha e Valmaior,01,02,09,Aveiro,01-02,01-02-09
LOCAL-010210,São João de Loure e Frossos,01,02,10,Aveiro,01-02,01-02-10
LOCAL-010304,Avelãs de Caminho,01,03,04,Aveiro,01-03,01-03-04
LOCAL-010305,Avelãs de Cima,01,03,05,Aveiro,01-03,01-03-05
LOCAL-010307,Moita,01,03,07,Aveiro,01-03,01-03-07
LOCAL-010309,Sangalhos,01,03,09,Aveiro,01-03,01-03-09
LOCAL-010310,São Lourenço do Bairro,01,03,10,Aveiro,01-03,01-03-10
LOCAL-010312,Vila Nova de Monsarros,01,03,12,Aveiro,01-03,01-03-12
LOCAL-010313,Vilarinho do Bairro,01,03,13,Aveiro,01-03,01-03-13
LOCAL-010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",01,03,16,Aveiro,01-03,01-03-16
LOCAL-010317,Arcos e Mogofores,01,03,17,Aveiro,01-03,01-03-17
LOCAL-010318,"Tamengos, Aguim e Óis do Bairro",01,03,18,Aveiro,01-03,01-03-18
LOCAL-010402,Alvarenga,01,04,02,Aveiro,01-04,01-04-02
LOCAL-010407,Chave,01,04,07,Aveiro,01-04,01-04-07
LOCAL-010409,Escariz,01,04,09,Aveiro,01-04,01-04-09
LOCAL-010411,Fermedo,01,04,11,Aveiro,01-04,01-04-11
LOCAL-010413,Mansores,01,04,13,Aveiro,01-04,01-04-13
LOCAL-010414,Moldes,01,04,14,Aveiro,01-04,01-04-14
LOCAL-010415,Rossas,01,04,15,Aveiro,01-04,01-04-15
LOCAL-010416,Santa Eulália,01,04,16,Aveiro,01-04,01-04-16
LOCAL-010417,São Miguel do Mato,01,04,17,Aveiro,01-04,01-04-17
LOCAL-010418,Tropeço,01,04,18,Aveiro,01-04,01-04-18
LOCAL-010419,Urrô,01,04,19,Aveiro,01-04,01-04-19
LOCAL-010420,Várzea,01,04,20,Aveiro,01-04,01-04-20
LOCAL-010421,Arouca e Burgo,01,04,21,Aveiro,01-04,01-04-21
LOCAL-010422,Cabreiros e Albergaria da Serra,01,04,22,Aveiro,01-04,01-04-22
LOCAL-010423,Canelas e Espiunca,01,04,23,Aveiro,01-04,01-04-23
LOCAL-010424,Covelo de Paivó e Janarde,01,04,24,Aveiro,01-04,01-04-24
LOCAL-010501,Aradas,01,05,01,Aveiro,01-05,01-05-01
LOCAL-010502,Cacia,01,05,02,Aveiro,01-05,01-05-02
LOCAL-010505,Esgueira,01,05,05,Aveiro,01-05,01-05-05
LOCAL-010508,Oliveirinha,01,05,08,Aveiro,01-05,01-05-08
LOCAL-010510,São Bernardo,01,05,10,Aveiro,01-05,01-05-10
LOCAL-010511,São Jacinto,01,05,11,Aveiro,01-05,01-05-11
LOCAL-010513,Santa Joana,01,05,13,Aveiro,01-05,01-05-13
LOCAL-010515,Eixo e Eirol,01,05,15,Aveiro,01-05,01-05-15
LOCAL-010516,"Requeixo, Nossa Senhora de Fátima e Nariz",01,05,16,Aveiro,01-05,01-05-16
LOCAL-010517,Glória e Vera Cruz,01,05,17,Aveiro,01-05,01-05-17
LOCAL-010602,Fornos,01,06,02,Aveiro,01-06,01-06-02
LOCAL-010606,Real,01,06,06,Aveiro,01-06,01-06-06
LOCAL-010607,Santa Maria de Sardoura,01,06,07,Aveiro,01-06,01-06-07
LOCAL-010608,São Martinho de Sardoura,01,06,08,Aveiro,01-06,01-06-08
LOCAL-010610,"Raiva, Pedorido e Paraíso",01,06,10,Aveiro,01-06,01-06-10
LOCAL-010611,Sobrado e Bairros,01,06,11,Aveiro,01-06,01-06-11
LOCAL-010702,Espinho,01,07,02,Aveiro,01-07,01-07-02
LOCAL-010704,Paramos,01,07,04,Aveiro,01-07,01-07-04
LOCAL-010705,Silvalde,01,07,05,Aveiro,01-07,01-07-05
LOCAL-010706,Anta e Guetim,01,07,06,Aveiro,01-07,01-07-06
LOCAL-010801,Avanca,01,08,01,Aveiro,01-08,01-08-01
LOCAL-010805,Pardilhó,01,08,05,Aveiro,01-08,01-08-05
LOCAL-010806,Salreu,01,08,06,Aveiro,01-08,01-08-06
LOCAL-010808,Beduído e Veiros,01,08,08,Aveiro,01-08,01-08-08
LOCAL-010809,Canelas e Fermelã,01,08,09,Aveiro,01-08,01-08-09
LOCAL-010901,Argoncilhe,01,09,01,Aveiro,01-09,01-09-01
LOCAL-010902,Arrifana,01,09,02,Aveiro,01-09,01-09-02
LOCAL-010904,Escapães,01,09,04,Aveiro,01-09,01-09-04
LOCAL-010907,Fiães,01,09,07,Aveiro,01-09,01-09-07
LOCAL-010908,Fornos,01,09,08,Aveiro,01-09,01-09-08
LOCAL-010913,Lourosa,01,09,13,Aveiro,01-09,01-09-13
LOCAL-010914,Milheirós de Poiares,01,09,14,Aveiro,01-09,01-09-14
LOCAL-010916,Mozelos,01,09,16,Aveiro,01-09,01-09-16
LOCAL-010917,Nogueira da Regedoura,01,09,17,Aveiro,01-09,01-09-17
LOCAL-010918,São Paio de Oleiros,01,09,18,Aveiro,01-09,01-09-18
LOCAL-010919,Paços de Brandão,01,09,19,Aveiro,01-09,01-09-19
LOCAL-010921,Rio Meão,01,09,21,Aveiro,01-09,01-09-21
LOCAL-010922,Romariz,01,09,22,Aveiro,01-09,01-09-22
LOCAL-010924,Sanguedo,01,09,24,Aveiro,01-09,01-09-24
LOCAL-010925,Santa Maria de Lamas,01,09,25,Aveiro,01-09,01-09-25
LOCAL-010926,São João de Ver,01,09,26,Aveiro,01-09,01-09-26
LOCAL-010932,Caldas de São Jorge e Pigeiros,01,09,32,Aveiro,01-09,01-09-32
LOCAL-010933,"Canedo, Vale e Vila Maior",01,09,33,Aveiro,01-09,01-09-33
LOCAL-010934,"Lobão, Gião, Louredo e Guisande",01,09,34,Aveiro,01-09,01-09-34
LOCAL-010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",01,09,35,Aveiro,01-09,01-09-35
LOCAL-010936,São Miguel de Souto e Mosteirô,01,09,36,Aveiro,01-09,01-09-36
LOCAL-011005,Gafanha da Encarnação,01,10,05,Aveiro,01-10,01-10-05
LOCAL-011006,Gafanha da Nazaré,01,10,06,Aveiro,01-10,01-10-06
LOCAL-011007,Gafanha do Carmo,01,10,07,Aveiro,01-10,01-10-07
LOCAL-011008,Ílhavo (São Salvador),01,10,08,Aveiro,01-10,01-10-08
LOCAL-011102,Barcouço,01,11,02,Aveiro,01-11,01-11-02
LOCAL-011103,Casal Comba,01,11,03,Aveiro,01-11,01-11-03
LOCAL-011104,Luso,01,11,04,Aveiro,01-11,01-11-04
LOCAL-011106,Pampilhosa,01,11,06,Aveiro,01-11,01-11-06
LOCAL-011107,Vacariça,01,11,07,Aveiro,01-11,01-11-07
LOCAL-011109,"Mealhada, Ventosa do Bairro e Antes",01,11,09,Aveiro,01-11,01-11-09
LOCAL-011201,Bunheiro,01,12,01,Aveiro,01-12,01-12-01
LOCAL-011202,Monte,01,12,02,Aveiro,01-12,01-12-02
LOCAL-011203,Murtosa,01,12,03,Aveiro,01-12,01-12-03
LOCAL-011204,Torreira,01,12,04,Aveiro,01-12,01-12-04
LOCAL-011301,Carregosa,01,13,01,Aveiro,01-13,01-13-01
LOCAL-011302,Cesar,01,13,02,Aveiro,01-13,01-13-02
LOCAL-011303,Fajões,01,13,03,Aveiro,01-13,01-13-03
LOCAL-011304,Loureiro,01,13,04,Aveiro,01-13,01-13-04
LOCAL-011305,Macieira de Sarnes,01,13,05,Aveiro,01-13,01-13-05
LOCAL-011310,Ossela,01,13,10,Aveiro,01-13,01-13-10
LOCAL-011315,São Martinho da Gândara,01,13,15,Aveiro,01-13,01-13-15
LOCAL-011318,São Roque,01,13,18,Aveiro,01-13,01-13-18
LOCAL-011319,Vila de Cucujães,01,13,19,Aveiro,01-13,01-13-19
LOCAL-011320,Nogueira do Cravo e Pindelo,01,13,20,Aveiro,01-13,01-13-20
LOCAL-011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",01,13,21,Aveiro,01-13,01-13-21
LOCAL-011322,"Pinheiro da Bemposta, Travanca e Palmaz",01,13,22,Aveiro,01-13,01-13-22
LOCAL-011403,Oiã,01,14,03,Aveiro,01-14,01-14-03
LOCAL-011404,Oliveira do Bairro,01,14,04,Aveiro,01-14,01-14-04
LOCAL-011405,Palhaça,01,14,05,Aveiro,01-14,01-14-05
LOCAL-011407,"Bustos, Troviscal e Mamarrosa",01,14,07,Aveiro,01-14,01-14-07
LOCAL-011502,Cortegaça,01,15,02,Aveiro,01-15,01-15-02
LOCAL-011503,Esmoriz,01,15,03,Aveiro,01-15,01-15-03
LOCAL-011504,Maceda,01,15,04,Aveiro,01-15,01-15-04
LOCAL-011507,Válega,01,15,07,Aveiro,01-15,01-15-07
LOCAL-011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",01,15,09,Aveiro,01-15,01-15-09
LOCAL-011601,São João da Madeira,01,16,01,Aveiro,01-16,01-16-01
LOCAL-011702,Couto de Esteves,01,17,02,Aveiro,01-17,01-17-02
LOCAL-011704,Pessegueiro do Vouga,01,17,04,Aveiro,01-17,01-17-04
LOCAL-011705,Rocas do Vouga,01,17,05,Aveiro,01-17,01-17-05
LOCAL-011706,Sever do Vouga,01,17,06,Aveiro,01-17,01-17-06
LOCAL-011708,Talhadas,01,17,08,Aveiro,01-17,01-17-08
LOCAL-011710,Cedrim e Paradela,01,17,10,Aveiro,01-17,01-17-10
LOCAL-011711,Silva Escura e Dornelas,01,17,11,Aveiro,01-17,01-17-11
LOCAL-011801,Calvão,01,18,01,Aveiro,01-18,01-18-01
LOCAL-011804,Gafanha da Boa Hora,01,18,04,Aveiro,01-18,01-18-04
LOCAL-011805,Ouca,01,18,05,Aveiro,01-18,01-18-05
LOCAL-011807,Sosa,01,18,07,Aveiro,01-18,01-18-07
LOCAL-011810,Santo André de Vagos,01,18,10,Aveiro,01-18,01-18-10
LOCAL-011812,Fonte de Angeão e Covão do Lobo,01,18,12,Aveiro,01-18,01-18-12
LOCAL-011813,Ponte de Vagos e Santa Catarina,01,18,13,Aveiro,01-18,01-18-13
LOCAL-011814,Vagos e Santo António,01,18,14,Aveiro,01-18,01-18-14
LOCAL-011901,Arões,01,19,01,Aveiro,01-19,01-19-01
LOCAL-011902,São Pedro de Castelões,01,19,02,Aveiro,01-19,01-19-02
LOCAL-011903,Cepelos,01,19,03,Aveiro,01-19,01-19-03
LOCAL-011905,Junqueira,01,19,05,Aveiro,01-19,01-19-05
LOCAL-011906,Macieira de Cambra,01,19,06,Aveiro,01-19,01-19-06
LOCAL-011907,Roge,01,19,07,Aveiro,01-19,01-19-07
LOCAL-011910,"Vila Chã, Codal e Vila Cova de Perrinho",01,19,10,Aveiro,01-19,01-19-10
LOCAL-020102,Ervidel,02,01,02,Beja,02-01,02-01-02
LOCAL-020103,Messejana,02,01,03,Beja,02-01,02-01-03
LOCAL-020104,São João de Negrilhos,02,01,04,Beja,02-01,02-01-04
LOCAL-020106,Aljustrel e Rio de Moinhos,02,01,06,Beja,02-01,02-01-06
LOCAL-020203,Rosário,02,02,03,Beja,02-02,02-02-03
LOCAL-020205,Santa Cruz,02,02,05,Beja,02-02,02-02-05
LOCAL-020206,São Barnabé,02,02,06,Beja,02-02,02-02-06
LOCAL-020208,Aldeia dos Fernandes,02,02,08,Beja,02-02,02-02-08
LOCAL-020209,Almodôvar e Graça dos Padrões,02,02,09,Beja,02-02,02-02-09
LOCAL-020210,Santa Clara-a-Nova e Gomes Aires,02,02,10,Beja,02-02,02-02-10
LOCAL-020301,Alvito,02,03,01,Beja,02-03,02-03-01
LOCAL-020302,Vila Nova da Baronia,02,03,02,Beja,02-03,02-03-02
LOCAL-020401,Barrancos,02,04,01,Beja,02-04,02-04-01
LOCAL-020502,Baleizão,02,05,02,Beja,02-05,02-05-02
LOCAL-020503,Beringel,02,05,03,Beja,02-05,02-05-03
LOCAL-020504,Cabeça Gorda,02,05,04,Beja,02-05,02-05-04
LOCAL-020506,Nossa Senhora das Neves,02,05,06,Beja,02-05,02-05-06
LOCAL-020510,Santa Clara de Louredo,02,05,10,Beja,02-05,02-05-10
LOCAL-020516,São Matias,02,05,16,Beja,02-05,02-05-16
LOCAL-020519,Albernoa e Trindade,02,05,19,Beja,02-05,02-05-19
LOCAL-020520,Beja (Salvador e Santa Maria da Feira),02,05,20,Beja,02-05,02-05-20
LOCAL-020521,Beja (Santiago Maior e São João Baptista),02,05,21,Beja,02-05,02-05-21
LOCAL-020522,Salvada e Quintos,02,05,22,Beja,02-05,02-05-22
LOCAL-020523,Santa Vitória e Mombeja,02,05,23,Beja,02-05,02-05-23
LOCAL-020524,Trigaches e São Brissos,02,05,24,Beja,02-05,02-05-24
LOCAL-020603,Entradas,02,06,03,Beja,02-06,02-06-03
LOCAL-020604,Santa Bárbara de Padrões,02,06,04,Beja,02-06,02-06-04
LOCAL-020605,São Marcos da Ataboeira,02,06,05,Beja,02-06,02-06-05
LOCAL-020606,Castro Verde e Casével,02,06,06,Beja,02-06,02-06-06
LOCAL-020701,Cuba,02,07,01,Beja,02-07,02-07-01
LOCAL-020702,Faro do Alentejo,02,07,02,Beja,02-07,02-07-02
LOCAL-020703,Vila Alva,02,07,03,Beja,02-07,02-07-03
LOCAL-020704,Vila Ruiva,02,07,04,Beja,02-07,02-07-04
LOCAL-020803,Figueira dos Cavaleiros,02,08,03,Beja,02-08,02-08-03
LOCAL-020804,Odivelas,02,08,04,Beja,02-08,02-08-04
LOCAL-020807,Alfundão e Peroguarda,02,08,07,Beja,02-08,02-08-07
LOCAL-020808,Ferreira do Alentejo e Canhestros,02,08,08,Beja,02-08,02-08-08
LOCAL-020901,Alcaria Ruiva,02,09,01,Beja,02-09,02-09-01
LOCAL-020902,Corte do Pinto,02,09,02,Beja,02-09,02-09-02
LOCAL-020903,Espírito Santo,02,09,03,Beja,02-09,02-09-03
LOCAL-020904,Mértola,02,09,04,Beja,02-09,02-09-04
LOCAL-020905,Santana de Cambas,02,09,05,Beja,02-09,02-09-05
LOCAL-020906,São João dos Caldeireiros,02,09,06,Beja,02-09,02-09-06
LOCAL-020910,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",02,09,10,Beja,02-09,02-09-10
LOCAL-021001,Amareleja,02,10,01,Beja,02-10,02-10-01
LOCAL-021002,Póvoa de São Miguel,02,10,02,Beja,02-10,02-10-02
LOCAL-021008,Sobral da Adiça,02,10,08,Beja,02-10,02-10-08
LOCAL-021009,Santo Agostinho e São João Baptista e Santo Amador,02,10,09,Beja,02-10,02-10-09
LOCAL-021010,Safara e Santo Aleixo da Restauração,02,10,10,Beja,02-10,02-10-10
LOCAL-021102,Relíquias,02,11,02,Beja,02-11,02-11-02
LOCAL-021103,Sabóia,02,11,03,Beja,02-11,02-11-03
LOCAL-021106,São Luís,02,11,06,Beja,02-11,02-11-06
LOCAL-021107,São Martinho das Amoreiras,02,11,07,Beja,02-11,02-11-07
LOCAL-021111,Vila Nova de Milfontes,02,11,11,Beja,02-11,02-11-11
LOCAL-021115,Luzianes-Gare,02,11,15,Beja,02-11,02-11-15
LOCAL-021116,Boavista dos Pinheiros,02,11,16,Beja,02-11,02-11-16
LOCAL-021117,Longueira/Almograve,02,11,17,Beja,02-11,02-11-17
LOCAL-021118,Colos,02,11,18,Beja,02-11,02-11-18
LOCAL-021119,Santa Clara-a-Velha,02,11,19,Beja,02-11,02-11-19
LOCAL-021120,São Salvador e Santa Maria,02,11,20,Beja,02-11,02-11-20
LOCAL-021121,São Teotónio,02,11,21,Beja,02-11,02-11-21
LOCAL-021122,Vale de Santiago,02,11,22,Beja,02-11,02-11-22
LOCAL-021203,Ourique,02,12,03,Beja,02-12,02-12-03
LOCAL-021206,Santana da Serra,02,12,06,Beja,02-12,02-12-06
LOCAL-021207,Garvão e Santa Luzia,02,12,07,Beja,02-12,02-12-07
LOCAL-021208,Panoias e Conceição,02,12,08,Beja,02-12,02-12-08
LOCAL-021302,Brinches,02,13,02,Beja,02-13,02-13-02
LOCAL-021303,Pias,02,13,03,Beja,02-13,02-13-03
LOCAL-021307,Vila Verde de Ficalho,02,13,07,Beja,02-13,02-13-07
LOCAL-021308,Serpa (Salvador e Santa Maria),02,13,08,Beja,02-13,02-13-08
LOCAL-021309,Vila Nova de São Bento e Vale de Vargo,02,13,09,Beja,02-13,02-13-09
LOCAL-021401,Pedrógão,02,14,01,Beja,02-14,02-14-01
LOCAL-021402,Selmes,02,14,02,Beja,02-14,02-14-02
LOCAL-021403,Vidigueira,02,14,03,Beja,02-14,02-14-03
LOCAL-021404,Vila de Frades,02,14,04,Beja,02-14,02-14-04
LOCAL-030102,Barreiros,03,01,02,Braga,03-01,03-01-02
LOCAL-030104,Bico,03,01,04,Braga,03-01,03-01-04
LOCAL-030105,Caires,03,01,05,Braga,03-01,03-01-05
LOCAL-030107,Carrazedo,03,01,07,Braga,03-01,03-01-07
LOCAL-030108,Dornelas,03,01,08,Braga,03-01,03-01-08
LOCAL-030111,Fiscal,03,01,11,Braga,03-01,03-01-11
LOCAL-030112,Goães,03,01,12,Braga,03-01,03-01-12
LOCAL-030113,Lago,03,01,13,Braga,03-01,03-01-13
LOCAL-030118,Rendufe,03,01,18,Braga,03-01,03-01-18
LOCAL-030119,Bouro (Santa Maria),03,01,19,Braga,03-01,03-01-19
LOCAL-030120,Bouro (Santa Marta),03,01,20,Braga,03-01,03-01-20
LOCAL-030125,Amares e Figueiredo,03,01,25,Braga,03-01,03-01-25
LOCAL-030126,"Caldelas, Sequeiros e Paranhos",03,01,26,Braga,03-01,03-01-26
LOCAL-030127,"Ferreiros, Prozelo e Besteiros",03,01,27,Braga,03-01,03-01-27
LOCAL-030128,Torre e Portela,03,01,28,Braga,03-01,03-01-28
LOCAL-030129,"Vilela, Seramil e Paredes Secas",03,01,29,Braga,03-01,03-01-29
LOCAL-030201,Abade de Neiva,03,02,01,Braga,03-02,03-02-01
LOCAL-030202,Aborim,03,02,02,Braga,03-02,03-02-02
LOCAL-030203,Adães,03,02,03,Braga,03-02,03-02-03
LOCAL-030205,Airó,03,02,05,Braga,03-02,03-02-05
LOCAL-030206,Aldreu,03,02,06,Braga,03-02,03-02-06
LOCAL-030208,Alvelos,03,02,08,Braga,03-02,03-02-08
LOCAL-030209,Arcozelo,03,02,09,Braga,03-02,03-02-09
LOCAL-030210,Areias,03,02,10,Braga,03-02,03-02-10
LOCAL-030212,Balugães,03,02,12,Braga,03-02,03-02-12
LOCAL-030213,Barcelinhos,03,02,13,Braga,03-02,03-02-13
LOCAL-030215,Barqueiros,03,02,15,Braga,03-02,03-02-15
LOCAL-030216,Cambeses,03,02,16,Braga,03-02,03-02-16
LOCAL-030218,Carapeços,03,02,18,Braga,03-02,03-02-18
LOCAL-030220,Carvalhal,03,02,20,Braga,03-02,03-02-20
LOCAL-030221,Carvalhas,03,02,21,Braga,03-02,03-02-21
LOCAL-030224,Cossourado,03,02,24,Braga,03-02,03-02-24
LOCAL-030228,Cristelo,03,02,28,Braga,03-02,03-02-28
LOCAL-030234,Fornelos,03,02,34,Braga,03-02,03-02-34
LOCAL-030235,Fragoso,03,02,35,Braga,03-02,03-02-35
LOCAL-030237,Gilmonde,03,02,37,Braga,03-02,03-02-37
LOCAL-030242,Lama,03,02,42,Braga,03-02,03-02-42
LOCAL-030243,Lijó,03,02,43,Braga,03-02,03-02-43
LOCAL-030244,Macieira de Rates,03,02,44,Braga,03-02,03-02-44
LOCAL-030245,Manhente,03,02,45,Braga,03-02,03-02-45
LOCAL-030247,Martim,03,02,47,Braga,03-02,03-02-47
LOCAL-030252,Moure,03,02,52,Braga,03-02,03-02-52
LOCAL-030254,Oliveira,03,02,54,Braga,03-02,03-02-54
LOCAL-030255,Palme,03,02,55,Braga,03-02,03-02-55
LOCAL-030256,Panque,03,02,56,Braga,03-02,03-02-56
LOCAL-030257,Paradela,03,02,57,Braga,03-02,03-02-57
LOCAL-030259,Pereira,03,02,59,Braga,03-02,03-02-59
LOCAL-030260,Perelhal,03,02,60,Braga,03-02,03-02-60
LOCAL-030261,Pousa,03,02,61,Braga,03-02,03-02-61
LOCAL-030263,Remelhe,03,02,63,Braga,03-02,03-02-63
LOCAL-030264,Roriz,03,02,64,Braga,03-02,03-02-64
LOCAL-030265,Rio Covo (Santa Eugénia),03,02,65,Braga,03-02,03-02-65
LOCAL-030268,Galegos (Santa Maria),03,02,68,Braga,03-02,03-02-68
LOCAL-030272,Galegos (São Martinho),03,02,72,Braga,03-02,03-02-72
LOCAL-030277,Tamel (São Veríssimo),03,02,77,Braga,03-02,03-02-77
LOCAL-030279,Silva,03,02,79,Braga,03-02,03-02-79
LOCAL-030282,Ucha,03,02,82,Braga,03-02,03-02-82
LOCAL-030283,Várzea,03,02,83,Braga,03-02,03-02-83
LOCAL-030287,Vila Seca,03,02,87,Braga,03-02,03-02-87
LOCAL-030290,Alheira e Igreja Nova,03,02,90,Braga,03-02,03-02-90
LOCAL-030291,Alvito (São Pedro e São Martinho) e Couto,03,02,91,Braga,03-02,03-02-91
LOCAL-030292,Areias de Vilar e Encourados,03,02,92,Braga,03-02,03-02-92
LOCAL-030293,"Barcelos, Vila Boa e Vila Frescainha",03,02,93,Braga,03-02,03-02-93
LOCAL-030294,Campo e Tamel (São Pedro Fins),03,02,94,Braga,03-02,03-02-94
LOCAL-030295,Carreira e Fonte Coberta,03,02,95,Braga,03-02,03-02-95
LOCAL-030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",03,02,96,Braga,03-02,03-02-96
LOCAL-030297,Creixomil e Mariz,03,02,97,Braga,03-02,03-02-97
LOCAL-030298,Durrães e Tregosa,03,02,98,Braga,03-02,03-02-98
LOCAL-030299,Gamil e Midões,03,02,99,Braga,03-02,03-02-99
LOCAL-0302FA,"Milhazes, Vilar de Figos e Faria",03,02,FA,Braga,03-02,03-02-FA
LOCAL-0302FB,Negreiros e Chavão,03,02,FB,Braga,03-02,03-02-FB
LOCAL-0302FC,Quintiães e Aguiar,03,02,FC,Braga,03-02,03-02-FC
LOCAL-0302FD,Sequeade e Bastuço (São João e Santo Estevão),03,02,FD,Braga,03-02,03-02-FD
LOCAL-0302FE,Silveiros e Rio Covo (Santa Eulália),03,02,FE,Braga,03-02,03-02-FE
LOCAL-0302FF,Tamel (Santa Leocádia) e Vilar do Monte,03,02,FF,Braga,03-02,03-02-FF
LOCAL-0302FG,"Viatodos, Grimancelos, Minhotães, Monte de Fralães",03,02,FG,Braga,03-02,03-02-FG
LOCAL-0302FH,Vila Cova e Feitos,03,02,FH,Braga,03-02,03-02-FH
LOCAL-030301,Adaúfe,03,03,01,Braga,03-03,03-03-01
LOCAL-030312,Espinho,03,03,12,Braga,03-03,03-03-12
LOCAL-030313,Esporões,03,03,13,Braga,03-03,03-03-13
LOCAL-030315,Figueiredo,03,03,15,Braga,03-03,03-03-15
LOCAL-030319,Gualtar,03,03,19,Braga,03-03,03-03-19
LOCAL-030322,Lamas,03,03,22,Braga,03-03,03-03-22
LOCAL-030325,Mire de Tibães,03,03,25,Braga,03-03,03-03-25
LOCAL-030330,Padim da Graça,03,03,30,Braga,03-03,03-03-30
LOCAL-030331,Palmeira,03,03,31,Braga,03-03,03-03-31
LOCAL-030334,Pedralva,03,03,34,Braga,03-03,03-03-34
LOCAL-030336,Priscos,03,03,36,Braga,03-03,03-03-36
LOCAL-030338,Ruilhe,03,03,38,Braga,03-03,03-03-38
LOCAL-030349,Braga (São Vicente),03,03,49,Braga,03-03,03-03-49
LOCAL-030351,Braga (São Vítor),03,03,51,Braga,03-03,03-03-51
LOCAL-030354,Sequeira,03,03,54,Braga,03-03,03-03-54
LOCAL-030355,Sobreposta,03,03,55,Braga,03-03,03-03-55
LOCAL-030356,Tadim,03,03,56,Braga,03-03,03-03-56
LOCAL-030357,Tebosa,03,03,57,Braga,03-03,03-03-57
LOCAL-030363,Arentim e Cunha,03,03,63,Braga,03-03,03-03-63
LOCAL-030364,"Braga (Maximinos, Sé e Cividade)",03,03,64,Braga,03-03,03-03-64
LOCAL-030365,Braga (São José de São Lázaro e São João do Souto),03,03,65,Braga,03-03,03-03-65
LOCAL-030366,Cabreiros e Passos (São Julião),03,03,66,Braga,03-03,03-03-66
LOCAL-030367,"Celeirós, Aveleda e Vimieiro",03,03,67,Braga,03-03,03-03-67
LOCAL-030368,Crespos e Pousada,03,03,68,Braga,03-03,03-03-68
LOCAL-030369,Escudeiros e Penso (Santo Estêvão e São Vicente),03,03,69,Braga,03-03,03-03-69
LOCAL-030370,Este (São Pedro e São Mamede),03,03,70,Braga,03-03,03-03-70
LOCAL-030371,Ferreiros e Gondizalves,03,03,71,Braga,03-03,03-03-71
LOCAL-030372,Guisande e Oliveira (São Pedro),03,03,72,Braga,03-03,03-03-72
LOCAL-030373,Lomar e Arcos,03,03,73,Braga,03-03,03-03-73
LOCAL-030374,"Merelim (São Paio), Panoias e Parada de Tibães",03,03,74,Braga,03-03,03-03-74
LOCAL-030375,Merelim (São Pedro) e Frossos,03,03,75,Braga,03-03,03-03-75
LOCAL-030376,Morreira e Trandeiras,03,03,76,Braga,03-03,03-03-76
LOCAL-030377,"Nogueira, Fraião e Lamaçães",03,03,77,Braga,03-03,03-03-77
LOCAL-030378,Nogueiró e Tenões,03,03,78,Braga,03-03,03-03-78
LOCAL-030379,"Real, Dume e Semelhe",03,03,79,Braga,03-03,03-03-79
LOCAL-030380,Santa Lucrécia de Algeriz e Navarra,03,03,80,Braga,03-03,03-03-80
LOCAL-030381,Vilaça e Fradelos,03,03,81,Braga,03-03,03-03-81
LOCAL-030401,Abadim,03,04,01,Braga,03-04,03-04-01
LOCAL-030404,Basto,03,04,04,Braga,03-04,03-04-04
LOCAL-030405,Bucos,03,04,05,Braga,03-04,03-04-05
LOCAL-030406,Cabeceiras de Basto,03,04,06,Braga,03-04,03-04-06
LOCAL-030407,Cavez,03,04,07,Braga,03-04,03-04-07
LOCAL-030408,Faia,03,04,08,Braga,03-04,03-04-08
LOCAL-030413,Pedraça,03,04,13,Braga,03-04,03-04-13
LOCAL-030415,Rio Douro,03,04,15,Braga,03-04,03-04-15
LOCAL-030418,Alvite e Passos,03,04,18,Braga,03-04,03-04-18
LOCAL-030419,Arco de Baúlhe e Vila Nune,03,04,19,Braga,03-04,03-04-19
LOCAL-030420,Gondiães e Vilar de Cunhas,03,04,20,Braga,03-04,03-04-20
